#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
598269|1994-04-30T22:07:03.080000|39.479|19.905|10.0|BULLETIN-VAX||||M|4.1|--|Confine Grecia-Albania (GRECIA, ALBANIA)|earthquake
602599|1994-05-14T15:27:06.050000|37.8|19.873|10.0|BULLETIN-VAX||||M|4.5|--|Mar Ionio Meridionale (MARE)|earthquake
606709|1994-05-30T23:24:15.200000|40.102|19.753|10.0|BULLETIN-VAX||||M|4.3|--|Costa Albanese meridionale (ALBANIA)|earthquake
607479|1994-06-02T17:38:15.190000|42.439|13.211|5.0|BULLETIN-VAX||||Md|4.0|--|3 km SW Cagnano Amiterno (AQ)|earthquake
622239|1994-08-07T06:31:12.460000|41.949|13.371|5.0|BULLETIN-VAX||||Md|4.0|--|3 km SW Capistrello (AQ)|earthquake
623009|1994-08-09T21:29:27.550000|36.279|12.908|5.0|BULLETIN-VAX||||Md|4.3|--|Canale di Sicilia meridionale (MARE)|earthquake
647469|1994-12-14T08:55:59.210000|45.974|6.348|5.0|BULLETIN-VAX||||Md|4.0|--|France|earthquake
674479|1995-05-22T12:50:32.670000|45.611|14.263|10.0|BULLETIN-VAX||||Md|4.1|--|Slovenia (SLOVENIA)|earthquake
676929|1995-05-29T06:52:28.560000|37.871|12.16|5.0|BULLETIN-VAX||||Md|4.3|--|Isole Egadi (Trapani)|earthquake
677299|1995-05-29T20:44:24.340000|40.238|16.1|5.0|BULLETIN-VAX||||Md|4.0|--|4 km E San Martino d'Agri (PZ)|earthquake
687369|1995-07-15T06:45:25.630000|42.724|17.448|10.0|BULLETIN-VAX||||M|5.0|--|Costa Croata meridionale (CROAZIA)|earthquake
688709|1995-07-23T18:44:23.190000|38.502|14.638|5.0|BULLETIN-VAX||||Md|4.4|--|Isole Eolie (Messina)|earthquake
692319|1995-08-08T07:53:44.310000|39.687|16.492|5.4|BULLETIN-VAX||||Md|4.0|--|10 km N Corigliano Calabro (CS)|earthquake
692919|1995-08-10T00:41:08.320000|42.52|19.939|10.0|BULLETIN-VAX||||M|4.0|--|Montenegro [Land]|earthquake
695799|1995-08-24T17:27:33.460000|44.108|10.726|5.0|BULLETIN-VAX||||Md|4.2|--|3 km W Cutigliano (PT)|earthquake
696329|1995-08-27T19:42:14.450000|38.256|15.194|10.3|BULLETIN-VAX||||Md|4.0|--|Costa Siciliana nord-orientale (Messina)|earthquake
702249|1995-09-28T23:44:44.630000|42.57|18.127|10.0|BULLETIN-VAX||||M|5.0|--|Costa Croata meridionale (CROAZIA)|earthquake
702499|1995-09-30T10:14:34.260000|41.803|15.903|22.1|BULLETIN-VAX||||Md|4.4|--|6 km SE Carpino (FG)|earthquake
706209|1995-10-10T06:54:22.880000|44.126|10.01|5.0|BULLETIN-VAX||||Md|4.6|--|1 km SW Fosdinovo (MS)|earthquake
717649|1995-12-05T01:01:05.280000|43.301|15.058|10.0|BULLETIN-VAX||||Md|4.0|--|Adriatico Centrale (MARE)|earthquake
722989|1995-12-31T21:29:47.560000|44.512|10.618|6.1|BULLETIN-VAX||||Md|4.0|--|2 km NE Baiso (RE)|earthquake
732909|1996-02-27T11:13:46.120000|46.304|12.665|5.0|BULLETIN-VAX||||Md|4.1|--|10 km W Tramonti di Sopra (PN)|earthquake
